feature,importance_mean,importance_std
sulphates,0.1365635834266893,0.04993189230764185
alcohol,0.12649165214598296,0.049899981335842634
volatile acidity,0.06586368908435028,0.04996140955553136
citric acid,0.03683453735924207,0.02763666352682407
density,0.020596297064051156,0.016943402451809902
fixed acidity,0.020329072191314104,0.011711710118686647
pH,0.012746332927452286,0.014199987125349057
free to total sulfur ratio,0.008270815357870198,0.01990820025562629
total sulfur dioxide,0.007264877357895094,0.02053995001181333
bound sulfur dioxide,0.0020829292736830357,0.018692605430871735
residual sugar,-0.0006956261449607777,0.01492778145455759
chlorides,-0.007939176595234384,0.011225555799235728
free sulfur dioxide,-0.016419441508566116,0.009525130846537432
