feature,lower_bound,upper_bound,outlier_count,outlier_share
residual sugar,0.8499999999999996,3.6500000000000004,95,0.09332023575638507
chlorides,0.04000000000000002,0.11999999999999998,71,0.06974459724950884
sulphates,0.29500000000000015,0.9749999999999999,41,0.04027504911591356
fixed acidity,4.1,12.1,37,0.036345776031434185
total sulfur dioxide,-40.5,123.5,33,0.03241650294695481
density,0.9921899999999999,1.00121,30,0.029469548133595286
pH,2.925,3.6849999999999996,24,0.023575638506876228
free sulfur dioxide,-14.0,42.0,16,0.015717092337917484
volatile acidity,0.007500000000000007,1.0275,10,0.009823182711198428
alcohol,6.950000000000001,13.749999999999998,6,0.005893909626719057
citric acid,-0.4049999999999999,0.9149999999999999,1,0.0009823182711198428
